trade_date,open,high,low,close,volume,vol,ma20,ma60,ma200,ma5_vol,ma20_vol,atr10,atr20,dif,dea,macd_bar,plus_di,minus_di,adx,ret_20d,amount
20220506,0.635,0.671,0.635,0.655,386096.07,386096.07,0.6989000000000001,0.8116166666666668,0.929965,306475.014,251182.6535,0.0313,0.02605,-0.0452891670868719,-0.0455302519252445,0.0004821696767451,12.299465240641714,43.315508021390364,81.05479028372868,-18.022528160200245,
20220509,0.654,0.659,0.645,0.649,234695.0,234695.0,0.69145,0.8073666666666667,0.92841,291565.21400000004,250487.10350000003,0.0311,0.02635,-0.0434408076158346,-0.0451123630633625,0.0033431108950557,12.169312169312173,42.85714285714285,78.46687819581658,-18.671679197994983,
20220510,0.638,0.661,0.636,0.661,268902.0,268902.0,0.6857,0.8032166666666668,0.926875,295280.014,252437.10350000003,0.0308,0.02635,-0.040540345835212,-0.0441979596177324,0.0073152275650408,11.825192802056558,41.64524421593829,75.92330108327396,-14.819587628865982,
20220511,0.66,0.682,0.654,0.664,256519.0,256519.0,0.6808,0.7988333333333333,0.9254,275735.814,255094.0535,0.0318,0.0263,-0.0375665897867445,-0.0428716856515348,0.0106101917295806,16.919191919191924,38.888888888888864,72.21345594120375,-12.86089238845144,
20220512,0.662,0.671,0.658,0.667,253807.0,253807.0,0.6777500000000001,0.7946500000000001,0.92369,280003.814,255819.2535,0.0279,0.025,-0.0345692984121702,-0.0412112082036619,0.0132838195829833,15.267175572519086,39.1857506361323,69.8253661611196,-8.379120879120872,
20220513,0.666,0.671,0.659,0.664,236651.0,236651.0,0.6738999999999999,0.7906666666666666,0.92191,250114.8,256637.4035,0.0248,0.02425,-0.0320663573248295,-0.0393822380278954,0.0146317614061318,15.4241645244216,39.5886889460154,67.4526787684055,-10.391363022941968,
20220516,0.665,0.674,0.657,0.659,166238.0,166238.0,0.6707,0.7867666666666666,0.920175,236423.4,255700.5035,0.0223,0.02415,-0.0301387954207895,-0.0375335495064742,0.0147895081713694,16.66666666666667,33.862433862433846,64.04925193266182,-8.852005532503448,
20220517,0.661,0.661,0.65,0.661,310350.0,310350.0,0.6673500000000001,0.7827833333333333,0.91841,244713.0,260866.3035,0.0215,0.0242,-0.0281255911322022,-0.0356519578316198,0.0150527333988352,16.9811320754717,33.153638814016176,60.409343454043665,-9.203296703296694,
20220518,0.664,0.677,0.663,0.664,308585.0,308585.0,0.6644,0.7787833333333334,0.91669,255126.2,264458.05350000004,0.0189,0.0243,-0.0259884585285261,-0.0337192579710011,0.0154615988849499,23.58208955223881,22.388059701492537,53.989649476746,-8.160442600276617,
20220519,0.65,0.658,0.643,0.658,284548.0,284548.0,0.66105,0.7748000000000002,0.91487,261274.4,267601.1035,0.0193,0.0243,-0.0244965345965459,-0.0318747132961101,0.0147563573991282,25.23961661341853,18.210862619808303,48.44868309019138,-9.241379310344822,
20220520,0.658,0.671,0.658,0.671,315521.0,315521.0,0.65855,0.7705666666666667,0.913185,277048.4,273649.30350000004,0.017,0.02415,-0.0220114485005895,-0.029902060337006,0.0157812236728328,32.3943661971831,16.901408450704224,44.01801362614408,-6.934812760055465,
20220523,0.673,0.675,0.665,0.671,251922.0,251922.0,0.65605,0.7658166666666667,0.911435,294185.2,273507.6035,0.0166,0.02385,-0.0198136010065999,-0.0278843684709247,0.0161415349286497,34.90909090909091,17.454545454545453,39.77157278176509,-6.934812760055465,
20220524,0.669,0.671,0.636,0.636,376242.0,376242.0,0.6529,0.7607833333333333,0.909465,307363.6,280069.80350000004,0.0176,0.0242,-0.0206578674884415,-0.0264390682744281,0.0115624015719731,23.50746268656717,28.73134328358209,36.24365400003921,-9.01287553648068,
20220525,0.636,0.647,0.636,0.646,252214.0,252214.0,0.65095,0.7557333333333334,0.90767,296089.4,282151.1035,0.0159,0.02385,-0.0202861917407284,-0.0252084929676882,0.0098446024539195,21.75572519083969,29.389312977099237,33.51966461750582,-5.693430656934306,
20220526,0.654,0.658,0.633,0.653,281041.0,281041.0,0.6517000000000001,0.7514333333333333,0.906005,295388.0,282534.05350000004,0.0171,0.0225,-0.0192054065624264,-0.0240078756866358,0.0096049382484188,27.091633466135455,25.896414342629487,29.69726521239964,2.351097178683381,
